city,year,type,data_index,data_rank,platform_index,platform_rank,total_index,total_rank,prepare_index,prepare_rank,valuable_num,use_index,valuable_num_prov,valuable_num_prov_area,use_rank,serve_index,assure_index,rank_2023
上海,2017,全国,86.6,1.0,74.2,3.0,82.88,1.0,,,,,,,,,,
东莞,2017,全国,71.8,4.0,44.0,12.0,63.459999999999994,5.0,,,,,,,,,,
佛山,2017,全国,56.6,7.0,75.10000000000002,1.0,62.150000000000006,6.0,,,,,,,,,,
北京,2017,全国,59.8,6.0,50.70000000000001,9.0,57.06999999999999,8.0,,,,,,,,,,
南海,2017,全国,37.8,14.0,45.60000000000001,11.0,40.14,13.0,,,,,,,,,,
哈尔滨,2017,全国,53.2,9.0,74.5,2.0,59.59,7.0,,,,,,,,,,
广东,2017,全国,39.4,12.0,51.70000000000001,8.0,43.09,11.0,,,,,,,,,,
广州,2017,全国,69.2,5.0,68.90000000000002,5.0,69.11,4.0,,,,,,,,,,
无锡,2017,全国,48.2,10.0,28.4,14.0,42.260000000000005,12.0,,,,,,,,,,
梅州,2017,全国,14.4,19.0,,,10.08,20.0,,,,,,,,,,
武汉,2017,全国,55.0,8.0,46.1,10.0,52.33,9.0,,,,,,,,,,
浙江,2017,全国,30.2,15.0,,,21.139999999999997,15.0,,,,,,,,,,
深圳,2017,全国,40.2,11.0,63.7,6.0,47.25,10.0,,,,,,,,,,
湛江,2017,全国,10.6,21.0,33.1,13.0,17.349999999999998,17.0,,,,,,,,,,
肇庆,2017,全国,18.4,16.0,,,12.879999999999999,19.0,,,,,,,,,,
荆门,2017,全国,16.2,17.0,21.200000000000006,16.0,17.7,16.0,,,,,,,,,,
贵州,2017,全国,38.4,13.0,26.200000000000003,15.0,34.74,14.0,,,,,,,,,,
贵阳,2017,全国,84.0,2.0,60.9,7.0,77.07,3.0,,,,,,,,,,
长沙,2017,全国,15.6,18.0,18.0,17.0,16.32,18.0,,,,,,,,,,
阳江,2017,全国,13.2,20.0,,,9.239999999999998,21.0,,,,,,,,,,
青岛,2017,全国,82.6,3.0,74.0,4.0,80.02,2.0,,,,,,,,,,
上海,2018,省级,52.133512678487776,1.0,57.1,3.0,60.20675633924389,1.0,79.46,2.0,1526.0,,,,,,,
东莞,2018,地级,45.969833619408405,,32.602999999999994,,42.5806668097042,,45.779999999999994,,,,,,,,,
东营,2018,地级,32.12978906966447,,61.202999999999996,,42.890644534832234,,46.1,,,,,,,,,
中山,2018,地级,28.06800609492383,,27.9,,29.334003047461913,,33.3,,,,,,,,,
临沂,2018,地级,34.13293216271335,,61.202999999999996,,38.942216081356676,,26.3,,,,,,,,,
乌海,2018,地级,25.370308123007014,,63.4,,37.260154061503506,,34.9,,,,,,,,,
佛山,2018,地级,75.83625239337593,,66.197,,62.14237619668796,,30.699999999999996,,,,,,,,,
六安,2018,地级,15.33693141702323,,26.602999999999998,,24.994215708511614,,42.7,,,,,,,,,
北京,2018,省级,50.90818901026612,2.0,48.53099999999999,6.0,49.68184450513306,5.0,48.379999999999995,9.0,955.0,,,,,,,
南京,2018,地级,21.957584942035318,,14.8,,28.778792471017656,,56.4,,,,,,,,,
哈尔滨,2018,地级,48.23992084688803,,68.603,,60.490710423444014,,76.88,,,,,,,,,
威海,2018,地级,39.485789983410214,,61.602999999999994,,47.58864499170511,,49.78,,,,,,,,,
宁夏,2018,省级,24.818457071125373,9.0,45.099999999999994,7.0,31.909228535562683,10.0,32.9,10.0,168.0,,,,,,,
宁波,2018,地级,31.300776541363863,,43.9,,37.62538827068193,,43.99999999999999,,,,,,,,,
宣城,2018,地级,27.287387872990408,,36.99700000000001,,35.0379439364952,,48.58,,,,,,,,,
山东,2018,省级,41.11865240091926,5.0,66.9,1.0,57.084326200459635,2.0,79.2,3.0,995.0,,,,,,,
广东,2018,省级,50.884684290194485,3.0,61.803,2.0,53.593092145097245,4.0,50.8,6.0,1752.0,,,,,,,
广州,2018,地级,51.95535325972935,,61.797000000000004,,51.22692662986467,,39.199999999999996,,,,,,,,,
德州,2018,地级,34.008597351194936,,61.602999999999994,,39.03004867559747,,26.5,,,,,,,,,
惠州,2018,地级,29.138837725104374,,55.300000000000004,,38.31941886255219,,39.7,,,,,,,,,
成都,2018,地级,40.00787580594814,,51.003,,50.12968790297407,,69.5,,,,,,,,,
扬州,2018,地级,21.683789451908922,,21.500000000000004,,25.23189472595446,,36.06,,,,,,,,,
无锡,2018,地级,28.34033216190937,,22.6,,32.195166080954685,,49.5,,,,,,,,,
日照,2018,地级,33.18723422220768,,61.202999999999996,,36.31936711110384,,17.7,,,,,,,,,
枣庄,2018,地级,29.487935828252056,,61.202999999999996,,40.36971791412603,,41.300000000000004,,,,,,,,,
梅州,2018,地级,29.498608632730576,,13.899999999999999,,27.049304316365287,,35.3,,,,,,,,,
武汉,2018,地级,23.801947443813592,,33.1,,32.3509737219068,,48.699999999999996,,,,,,,,,
江西,2018,省级,25.87651880708576,8.0,38.6,9.0,34.68825940354288,9.0,48.4,8.0,86.0,,,,,,,
江门,2018,地级,32.04508063976368,,61.4,,42.94254031988184,,46.28,,,,,,,,,
河南,2018,省级,41.53634038907539,4.0,55.903,4.0,46.883920194537694,6.0,48.559999999999995,7.0,257.0,,,,,,,
泰安,2018,地级,36.295895890646705,,61.202999999999996,,41.37369794532335,,31.7,,,,,,,,,
济南,2018,地级,43.571435994484204,,68.5,,49.9357179972421,,44.099999999999994,,,,,,,,,
济宁,2018,地级,28.450433392632107,,61.202999999999996,,38.05096669631605,,34.099999999999994,,,,,,,,,
浙江,2018,省级,30.163348685963353,7.0,23.200000000000003,10.0,37.091674342981676,7.0,64.84,4.0,355.0,,,,,,,
淄博,2018,地级,34.16285963238518,,61.202999999999996,,42.637179816192585,,41.019999999999996,,,,,,,,,
深圳,2018,地级,41.31577497494115,,44.2,,39.742887487470576,,32.14,,,,,,,,,
湛江,2018,地级,23.424855230252177,,26.0,,24.037427615126088,,23.3,,,,,,,,,
滨州,2018,地级,28.921702519871985,,61.202999999999996,,44.126601259935995,,57.46,,,,,,,,,
潍坊,2018,地级,33.15793412018164,,61.202999999999996,,41.85471706009082,,39.9,,,,,,,,,
烟台,2018,地级,27.4481611190939,,61.202999999999996,,35.949830559546946,,27.7,,,,,,,,,
珠海,2018,地级,17.505655345037137,,38.303,,23.22857767251857,,19.599999999999998,,,,,,,,,
石嘴山,2018,地级,15.67128849177603,,15.403,,17.611394245888015,,23.7,,,,,,,,,
聊城,2018,地级,30.983236130241085,,61.202999999999996,,40.797368065120544,,40.019999999999996,,,,,,,,,
肇庆,2018,地级,25.136434274111874,,12.4,,25.383217137055937,,38.86,,,,,,,,,
苏州,2018,地级,30.732418899145625,,16.700000000000003,,29.536209449572812,,39.98,,,,,,,,,
荆门,2018,地级,23.401818872476213,,18.400000000000002,,23.88590943623811,,30.34,,,,,,,,,
莱芜,2018,地级,28.661084896286276,,61.602999999999994,,37.02629244814314,,29.180000000000003,,,,,,,,,
菏泽,2018,地级,32.855288466119916,,61.202999999999996,,43.10339423305996,,45.5,,,,,,,,,
贵州,2018,省级,39.63546389907216,6.0,52.203,5.0,55.00848194953608,3.0,88.56000000000002,1.0,1571.0,,,,,,,
贵阳,2018,地级,64.49255280002578,,88.29700000000001,,78.2205264000129,,95.60000000000001,,,,,,,,,
铜仁,2018,地级,23.857856093979443,,36.99700000000001,,32.033178046989725,,43.419999999999995,,,,,,,,,
银川,2018,地级,21.87995602925467,,53.297,,42.85422801462734,,74.36000000000001,,,,,,,,,
长沙,2018,地级,23.146189269457665,,13.700000000000001,,21.52309463472883,,26.1,,,,,,,,,
阳江,2018,地级,21.458670645976245,,11.7,,19.229335322988124,,22.3,,,,,,,,,
陕西,2018,省级,21.96614910540752,10.0,44.203,8.0,34.96882455270376,8.0,51.739999999999995,5.0,124.0,,,,,,,
青岛,2018,地级,42.07124603940612,,65.303,,50.50637301970306,,52.580000000000005,,,,,,,,,
马鞍山,2018,地级,25.85033148062419,,37.102999999999994,,31.975915740312093,,39.099999999999994,,,,,,,,,
三亚,2019,地级,17.18,,5.28,,28.45,,4.491199999999999,,,1.5000000000000002,,,,,,
上海,2019,省级,25.03,,13.630000000000003,,69.36,1.0,24.2,,1982.0,6.499999999999999,,,,,,
东莞,2019,地级,24.62,,8.74,,40.0,,5.144,,,1.5000000000000002,,,,,,
东营,2019,地级,18.72,,8.66,,35.37,,5.144,,,2.8500000000000005,,,,,,
中卫,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
中山,2019,地级,19.79,,5.359999999999999,,30.79,,5.144,,,0.5,,,,,,
临沂,2019,地级,22.38,,9.36,,39.23,,5.144,,,2.35,,,,,,
乌海,2019,地级,12.28,,6.2,,21.74,,3.26,,,0.0,,,,,,
云浮,2019,地级,18.55,,12.81,,37.0,,5.144,,,0.5,,,,,,
佛山,2019,地级,18.08,,10.950000000000001,,34.17,,5.144,,,0.0,,,,,,
佳木斯,2019,地级,14.45,,9.520000000000001,,38.11,,14.143999999999997,,,0.0,,,,,,
六安,2019,地级,13.98,,6.619999999999999,,23.86,,3.2640000000000002,,,0.0,,,,,,
六盘水,2019,地级,13.55,,7.1000000000000005,,26.44,,4.792,,,1.0,,,,,,
内江,2019,地级,10.64,,5.46,,20.54,,2.94,,,1.5000000000000002,,,,,,
北京,2019,省级,24.99,,7.370000000000001,,54.4,4.0,14.0,,1339.0,8.040000000000001,,,,,,
南京,2019,地级,10.64,,3.48,,29.65,,15.531199999999995,,,0.0,,,,,,
南宁,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
南通,2019,地级,12.32,,1.96,,18.04,,3.2640000000000002,,,0.5,,,,,,
厦门,2019,地级,14.2,,9.51,,28.68,,4.4656,,,0.5,,,,,,
哈尔滨,2019,地级,22.63,,13.030000000000001,,55.75,,16.89119999999999,,,3.2,,,,,,
四川,2019,省级,16.98,,10.01,,29.99,11.0,3.0,,563.0,0.0,,,,,,
天津,2019,省级,20.67,,9.5,,44.15,7.0,12.475,,514.0,1.5000000000000002,,,,,,
威海,2019,地级,17.59,,9.06,,42.84,,14.337599999999998,,,1.85,,,,,,
宁夏,2019,省级,12.06,,8.879999999999999,,23.64,14.0,2.7,,168.0,0.0,,,,,,
宁波,2019,地级,13.13,,6.02,,23.72,,4.5696,,,0.0,,,,,,
宣城,2019,地级,14.59,,5.48,,35.0,,14.932799999999997,,,0.0,,,,,,
宿迁,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
山东,2019,省级,25.27,,11.64,,47.56,6.0,7.95,,736.0,2.7,,,,,,
常州,2019,地级,15.38,,6.5200000000000005,,25.16,,3.2640000000000002,,,0.0,,,,,,
常德,2019,地级,10.47,,3.2200000000000006,,18.45,,3.2640000000000002,,,1.5000000000000002,,,,,,
广东,2019,省级,31.05,,12.36,,52.86,5.0,6.75,,544.0,2.7,,,,,,
广元,2019,地级,8.91,,5.08,,17.75,,3.2640000000000002,,,0.5,,,,,,
广州,2019,地级,27.38,,11.09,,43.61,,5.144,,,0.0,,,,,,
徐州,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
德州,2019,地级,20.07,,9.76,,36.32,,5.144,,,1.35,,,,,,
惠州,2019,地级,21.46,,10.15,,38.56,,6.449600000000001,,,0.5,,,,,,
成都,2019,地级,19.57,,9.740000000000002,,44.98,,12.9744,,,2.7,,,,,,
扬州,2019,地级,10.46,,8.56,,32.05,,13.028799999999999,,,0.0,,,,,,
抚州,2019,地级,13.38,,5.58,,24.25,,4.792,,,0.5,,,,,,
揭阳,2019,地级,15.93,,12.81,,34.38,,5.144,,,0.5,,,,,,
新疆,2019,省级,0.0,,1.48,,4.48,16.0,3.0,,0.0,0.0,,,,,,
无锡,2019,地级,14.49,,3.0,,26.69,,5.0048,,,4.2,,,,,,
日照,2019,地级,16.9,,8.66,,33.55,,5.144,,,2.8500000000000005,,,,,,
枣庄,2019,地级,19.06,,7.859999999999999,,34.91,,5.144,,,2.8500000000000005,,,,,,
梅州,2019,地级,17.56,,12.81,,36.01,,5.144,,,0.5,,,,,,
武汉,2019,地级,20.69,,8.66,,32.61,,3.2640000000000002,,,0.0,,,,,,
永州,2019,地级,12.29,,4.58,,20.63,,3.2640000000000002,,,0.5,,,,,,
汕头,2019,地级,16.27,,12.81,,36.53,,6.449600000000001,,,1.0,,,,,,
汕尾,2019,地级,16.96,,12.81,,34.91,,5.144,,,0.0,,,,,,
江苏,2019,省级,0.0,,2.7800000000000002,,5.18,15.0,2.4,,0.0,0.0,,,,,,
江西,2019,省级,14.09,,5.71,,23.9,13.0,2.6,,73.0,1.5000000000000002,,,,,,
江门,2019,地级,18.12,,10.75,,34.01,,5.14,,,0.0,,,,,,
河南,2019,省级,16.95,,11.74,,36.34,9.0,7.65,,709.0,0.0,,,,,,
河源,2019,地级,17.07,,12.81,,36.52,,5.144,,,1.5000000000000002,,,,,,
泰安,2019,地级,19.83,,8.26,,36.08,,5.144,,,2.8500000000000005,,,,,,
泰州,2019,地级,15.47,,9.1,,30.53,,3.2640000000000002,,,2.7,,,,,,
泸州,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
济南,2019,地级,24.43,,11.48,,53.23,,15.97,,,1.35,,,,,,
济宁,2019,地级,15.75,,8.76,,31.0,,5.144,,,1.35,,,,,,
浙江,2019,省级,32.84,,15.52,,63.65,2.0,10.525,,1075.0,4.760000000000001,,,,,,
海南,2019,省级,12.73,,3.38,,30.56,10.0,12.95,,979.0,1.5000000000000002,,,,,,
淄博,2019,地级,19.17,,8.66,,35.82,,5.144,,,2.8500000000000005,,,,,,
淮安,2019,地级,11.11,,3.5600000000000005,,19.43,,3.2640000000000002,,,1.5000000000000002,,,,,,
深圳,2019,地级,23.39,,15.9,,61.93,,13.657599999999999,,,8.980000000000002,,,,,,
清远,2019,地级,21.55,,12.81,,40.0,,5.144,,,0.5,,,,,,
湖州,2019,地级,11.88,,2.06,,25.26,,9.8192,,,1.5000000000000002,,,,,,
湛江,2019,地级,16.82,,12.81,,34.77,,5.144,,,0.0,,,,,,
滨州,2019,地级,16.03,,9.06,,34.82,,6.8848,,,2.8500000000000005,,,,,,
潍坊,2019,地级,21.26,,8.78,,39.38,,5.144,,,4.2,,,,,,
潮州,2019,地级,19.26,,12.81,,39.02,,6.449599999999999,,,0.5,,,,,,
烟台,2019,地级,22.71,,8.66,,40.23,,6.0144,,,2.8500000000000005,,,,,,
珠海,2019,地级,20.9,,8.22,,36.07,,6.449600000000001,,,0.5,,,,,,
石嘴山,2019,地级,13.97,,3.3599999999999994,,21.77,,2.94,,,1.5000000000000002,,,,,,
福州,2019,地级,18.67,,10.920000000000002,,43.93,,13.84,,,0.5,,,,,,
福建,2019,省级,18.61,,11.81,,43.62,8.0,13.2,,605.0,0.0,,,,,,
绵阳,2019,地级,15.11,,0.0,,15.11,,0.0,,,0.0,,,,,,
聊城,2019,地级,18.51,,8.74,,35.11,,6.0144,,,1.85,,,,,,
肇庆,2019,地级,18.52,,12.81,,36.97,,5.144,,,0.5,,,,,,
苏州,2019,地级,14.31,,3.0,,22.94,,4.1344,,,1.5000000000000002,,,,,,
茂名,2019,地级,12.86,,3.2200000000000006,,22.72,,5.144,,,1.5000000000000002,,,,,,
荆门,2019,地级,12.23,,2.7800000000000002,,18.77,,3.2640000000000002,,,0.5,,,,,,
菏泽,2019,地级,15.98,,9.459999999999999,,34.74,,6.449600000000001,,,2.8500000000000005,,,,,,
蚌埠,2019,地级,10.82,,5.220000000000001,,22.11,,4.5696,,,1.5000000000000002,,,,,,
贵州,2019,省级,23.0,,7.46,,57.87,3.0,19.525,,1279.0,7.880000000000002,,,,,,
贵阳,2019,地级,27.56,,15.87,,67.72,,18.745599999999996,,,5.540000000000001,,,,,,
连云港,2019,地级,1.6,,6.18,,24.4,,16.62,,,0.0,,,,,,
遂宁,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
遵义,2019,地级,14.62,,7.66,,27.07,,4.792,,,0.0,,,,,,
铜仁,2019,地级,12.51,,3.64,,22.25,,6.097600000000001,,,0.0,,,,,,
银川,2019,地级,16.71,,9.4,,40.85,,14.742399999999995,,,0.0,,,,,,
长沙,2019,地级,10.99,,3.04,,17.79,,3.2640000000000002,,,0.5,,,,,,
阜阳,2019,地级,14.75,,8.459999999999999,,26.97,,3.2640000000000002,,,0.5,,,,,,
阳江,2019,地级,15.17,,12.81,,33.62,,5.144,,,0.5,,,,,,
陕西,2019,省级,13.63,,5.16,,24.39,12.0,4.6,,130.0,1.0,,,,,,
雅安,2019,地级,11.27,,0.0,,14.53,,3.2640000000000002,,,0.0,,,,,,
青岛,2019,地级,20.59,,10.58,,48.07,,14.2,,,2.7,,,,,,
韶关,2019,地级,18.78,,12.81,,37.23,,5.144,,,0.5,,,,,,
马鞍山,2019,地级,12.17,,7.9,,24.7,,4.1344,,,0.5,,,,,,
黄冈,2019,地级,0.0,,0.0,,3.26,,3.2640000000000002,,,0.0,,,,,,
黄山,2019,地级,7.15,,0.0,,10.41,,3.2640000000000002,,,0.0,,,,,,
黔东南,2019,地级,0.0,,0.0,,4.79,,4.79,,,0.0,,,,,,
黔南,2019,地级,6.15,,2.14,,24.51,,14.719999999999999,,,1.5000000000000002,,,,,,
三亚,2020,地级,,,,,,,,,,,,,,,,
上海,2020,省级,22.98,,15.75,,68.08,2.0,15.8,,,13.55,3177.3539568345323,3344.0632183908046,,,,
上饶,2020,地级,,,,,,,,,,,,,,,,
东莞,2020,地级,21.09,,7.490000000000001,,34.08,,3.5,,,2.0,,,,,,
东营,2020,地级,19.35,,13.030000000000001,,41.68,,4.1,,,5.2,,,,,,
中卫,2020,地级,,,,,,,,,,,,,,,,
中山,2020,地级,21.01,,3.94,,33.35,,6.398000000000001,,,2.0,,,,,,
临沂,2020,地级,24.72,,10.48,,46.4,,4.1,,,7.1,,,,,,
丽水,2020,地级,18.08,,8.840000000000002,,33.84,,4.82,,,2.1,,,,,,
乌海,2020,地级,,,,,,,,,,,,,,,,
乌鲁木齐,2020,地级,,,,,,,,,,,,,,,,
乐山,2020,地级,,,,,,,,,,,,,,,,
九江,2020,地级,,,,,,,,,,,,,,,,
云浮,2020,地级,,,,,,,,,,,,,,,,
佛山,2020,地级,19.22,,9.22,,36.73,,6.787999999999999,,,1.5,,,,,,
佳木斯,2020,地级,,,,,,,,,,,,,,,,
克拉玛依,2020,地级,,,,,,,,,,,,,,,,
六安,2020,地级,,,,,,,,,,,,,,,,
六盘水,2020,地级,,,,,,,,,,,,,,,,
内江,2020,地级,,,,,,,,,,,,,,,,
